Area,PostCode,Lat,Lon
EAST LANSING,48825,42.7293339,-84.4709918
EAST LEROY,49051,42.197355,-85.2515482
EAST TAWAS,48730,44.325768,-83.4643551
EATON RAPIDS,48827,42.5437604,-84.6479124
EAU CLAIRE,49111,42.0377521,-86.2767995
ECKERMAN,49728,46.3715731,-85.0666181
EDMORE,48829,43.3958457,-85.0441304
EDWARDSBURG,49112,41.7917622,-86.0325629
UNION,49130,41.775713,-85.8588594
ELK RAPIDS,49629,44.9171048,-85.4051107
ELKTON,48731,43.8360445,-83.1863358
ELLSWORTH,49729,45.1747675,-85.3005429
ELMIRA,49730,45.0540601,-84.8895541
ELSIE,48831,43.0948182,-84.375233
ELWELL,48832,43.4131328,-84.7837717
EMPIRE,49630,44.7990996,-85.9917437
ENGADINE,49827,46.1803552,-85.5545531
ESCANABA,49829,45.7738752,-87.1630507
ESSEXVILLE,48732,43.6119299,-83.7730237
EVART,49631,43.9024372,-85.2515482
EWEN,49925,46.5532424,-89.4049437
FAIRGROVE,48733,43.5169567,-83.6135572
FAIRVIEW,48621,44.7292469,-83.9744262
FALMOUTH,49632,44.2316729,-84.9609464
FARWELL,48622,43.8481927,-84.8776392
FELCH,49831,46.0541626,-87.7933738
FENNVILLE,49408,42.5832128,-86.1141045
FENWICK,48834,43.1349424,-85.0337392
FIFE LAKE,49633,44.5423049,-85.1686743
FOSTER CITY,49834,45.9679064,-87.7694753
FOUNTAIN,49410,44.0505126,-86.1548269
FOWLER,48835,43.0352846,-84.7524482
FOWLERVILLE,48836,42.6525748,-84.0801613
FRANKENMUTH,48734,43.37045,-83.7411631
FRANKFORT,49635,44.6186408,-86.1955169
FREDERIC,49733,44.7863318,-84.7524482
FREELAND,48623,43.5059061,-84.1224036
FREEPORT,49325,42.7579636,-85.3032811
FREE SOIL,49411,44.0925394,-86.2767995
FREMONT,49412,43.4685143,-85.9100089
FRUITPORT,49415,43.1669959,-86.1141045
FULTON,49052,42.1107566,-85.3032811
GAASTRA,49927,46.0572143,-88.5920165
GAGETOWN,48735,43.659359,-83.2613054
GALESBURG,49053,42.2914097,-85.3859519
GALIEN,49113,41.8062924,-86.4794359
GARDEN,49835,45.7568951,-86.5449636
GAYLORD,49735,44.9858952,-84.6270618
GERMFASK,49836,46.1931191,-85.8963827
GLADSTONE,49837,45.8528118,-87.0218083
GLADWIN,48624,44.076893,-84.4802606
GLEN ARBOR,49636,44.8641585,-85.9815339
GLENNIE,48737,44.5457923,-83.6986568
GOBLES,49055,42.3785948,-85.8690933
GOETZVILLE,49736,46.0778266,-84.1304316
GOULD CITY,49838,46.0149094,-85.7300198
GOWEN,49326,43.2437802,-85.3239605
GRAND HAVEN,49417,43.0147008,-86.1955169
GRAND JUNCTION,49056,42.3857578,-86.0733498
GRAND LEDGE,48837,42.7243308,-84.7524482
GRAND RAPIDS,49503,42.9616689,-85.6588999
GRAND RAPIDS,49504,42.9880623,-85.7153754
GRAND RAPIDS,49505,43.0043693,-85.6332093
GRAND RAPIDS,49506,42.9411011,-85.6100387
GRAND RAPIDS,49507,42.9274782,-85.6537627
GRAND RAPIDS,49508,42.8683658,-85.6332093
WYOMING,49509,42.8948162,-85.6897121
GRAND RAPIDS,49512,42.8846539,-85.5509164
WYOMING,49519,42.8959695,-85.7205065
GRAND RAPIDS,49525,43.0314956,-85.5817911
GRAND RAPIDS,49534,42.9709309,-85.7769164
GRAND RAPIDS,49544,43.0283952,-85.7564107
GRAND RAPIDS,49546,42.9219281,-85.5097226
GRAND RAPIDS,49548,42.8644771,-85.6588999
GRANDVILLE,49418,42.8737472,-85.7769164
GRANT,49327,43.3500543,-85.8281458
GRAWN,49637,44.6298276,-85.7153754
GRAYLING,49738,44.687947,-84.6479124
GREENBUSH,48738,44.5527127,-83.3254958
GREENVILLE,48838,43.1731842,-85.2515482
GULLIVER,49840,45.9931279,-86.0120796
GWINN,49841,46.2195586,-87.4714881
HALE,48739,44.3647476,-83.8260884
HAMILTON,49419,42.6586454,-86.0325629
HANCOCK,49930,47.1470492,-88.5893195
HARBOR SPRINGS,49740,45.5113315,-85.0211732
HARRIETTA,49638,44.2650883,-85.7871663
HARRISON,48625,44.0565054,-84.8567932
HARRISVILLE,48740,44.6388917,-83.357567
HART,49420,43.6927521,-86.2970998
HARTFORD,49057,42.1917096,-86.1548269
HASLETT,48840,42.7546309,-84.3647199
HASTINGS,49058,42.6306916,-85.2929384
HAWKS,49743,45.2488457,-83.8877632
HEMLOCK,48626,43.433426,-84.2067992
HENDERSON,48841,43.0976851,-84.238417
HERMANSVILLE,49847,45.7462286,-87.6145527
HERRON,49744,44.9925247,-83.6618593
HERSEY,49639,43.8312621,-85.3756249
HESPERIA,49421,43.5894707,-86.0733498
HESSEL,49745,46.0594259,-84.531133
HICKORY CORNERS,49060,42.4289034,-85.3859519
HILLMAN,49746,45.0261032,-83.9352816
HOLLAND,49423,42.7381514,-86.0733498
HOLLAND,49424,42.8564729,-86.1141045
HOLT,48842,42.6272648,-84.5536678
HOLTON,49425,43.4371449,-86.1141045
HONOR,49640,44.7256467,-86.0325629
HOPE,48628,43.784365,-84.3331694
HOPKINS,49328,42.6483881,-85.7461548
